question,qtype,source
What causes Marden-Walker syndrome ?,causes,original
What makes a particular food cause an allergic reaction?,causes,llm_generated
What could have triggered my depression again?,causes,llm_generated
Is my illness because of something I ate,causes,llm_generated
Is my illbeds bevause of something I ate,causes,typo
What causes Post-streptococcal glomerulonephritis (GN) ?,causes,original
Why am I having trouble sleeping all of a sudden?,causes,llm_generated
What makes someone prone to tonsillitis?,causes,llm_generated
What causes ringing in the ears?,causes,llm_generated
What makes sommeone prone to onnsillitis?,causes,typo
What causes Flat feet ?,causes,original
"What's the root cause of all this, then",causes,llm_generated
I've been having these weird pains in my chest and I don't know what's causing them,causes,llm_generated
Why did I get this rash on my face,causes,llm_generated
Why did I fet tis rash on my facee,causes,typo
What causes Broken Heart Syndrome ?,causes,original
What causes a cold sore to appear,causes,llm_generated
What causes hay fever to be so bad some years?,causes,llm_generated
Why did I get this rash on my face,causes,llm_generated
Why did I get this rash on myy faace,causes,typo
What causes Paronychia ?,causes,original
What makes kids get chickenpox?,causes,llm_generated
Is there something in my lifestyle that's causing this,causes,llm_generated
What makes people get kidney stones?,causes,llm_generated
What makes kids get chiixkrnpox?,causes,typo
What causes Down syndrome ?,causes,original
Wat causes these awful migraines I keep gettin?,causes,llm_generated
What makes kids get chickenpox?,causes,llm_generated
Is it something I've done that's caused this,causes,llm_generated
What makes kids get chickenppox?,causes,typo
What causes Cancer ?,causes,original
Is there something in my environment that's making me feel unwell,causes,llm_generated
I've been having trouble breathing and I'm not sure what's causing it,causes,llm_generated
"I feel like I've lost control of my body, what's happening",causes,llm_generated
Is the something in my eenvirronment that's making me fee unwell,causes,typo
What causes Takayasu arteritis ?,causes,original
What could be giving me this constant cough?,causes,llm_generated
What causes a cold sore to appear,causes,llm_generated
Is there a specific cause for my persistent cough?,causes,llm_generated
What coulld be giving me this consyant cough?,causes,typo
What causes Cancer - penis ?,causes,original
Why did my ankle suddenly give way?,causes,llm_generated
"I'm confused about what's going on, can you clarify",causes,llm_generated
"What set this whole thing off, then",causes,llm_generated
"Wht set this whole thingg off, then",causes,typo
What causes Postpartum depression ?,causes,original
I'm looking for answers about what's caused this,causes,llm_generated
Did catching that cold lead to this chest infection?,causes,llm_generated
My mum had a heart attack and I'm worried it might run in the family but I also smoke and drink so is that what caused hers,causes,llm_generated
I'm lookimg for answers about what's caussed this,causes,typo
What causes Blue rubber bleb nevus syndrome ?,causes,original
I've been having these muscle spasms and I don't know what's causing them,causes,llm_generated
My doctor says I have a vitamin deficiency but I don't know what's causing it,causes,llm_generated
Can a viral infection cause my symptoms,causes,llm_generated
My doctor says I have a vitamin deficiency bu I don't know what's causing it,causes,typo
What causes Nance-Horan syndrome ?,causes,original
What makes a wound get infected?,causes,llm_generated
I'd like to know what's behind all these health issues,causes,llm_generated
"What's the root cause of all this, then",causes,llm_generated
"What's the root cause of all this, then",causes,typo
What causes Brachial plexus injury in newborns ?,causes,original
I've been feeling really poorly for weeks and I have no idea what's causing it,causes,llm_generated
Could stress be why im shakin like this?,causes,llm_generated
"I'm confused about what's going on, can you clarify",causes,llm_generated
Coulld tress be why im shakin like this?,causes,typo
What causes Interstitial keratitis ?,causes,original
Why did I get this rash on my face,causes,llm_generated
My mum had a heart attack and I'm worried it might run in the family but I also smoke and drink so is that what caused hers,causes,llm_generated
What triggers eczema because I've had it since I was a kid,causes,llm_generated
Why did I ge thhus eash on my face,causes,typo
What causes Low calcium level - infants ?,causes,original
I've been having trouble sleeping and I'm wondering if it's because of my phone before bed,causes,llm_generated
Can a change in the weather cause my symptoms to flare up,causes,llm_generated
Did catching that cold lead to this chest infection?,causes,llm_generated
id catching that ccold lead to this chest infection?,causes,typo
What causes Sunburn ?,causes,original
My skin is really sensitive and I'm wondering if it's because of the products I'm using,causes,llm_generated
What triggers eczema flare-ups?,causes,llm_generated
My mum had a heart attack and I'm worried it might run in the family but I also smoke and drink so is that what caused hers,causes,llm_generated
hat trigfers eczea flare-ups?,causes,typo
What causes Sleeping sickness ?,causes,original
I'm looking for answers about what's caused this,causes,llm_generated
What caused my blood pressure to go up?,causes,llm_generated
I was wondering if my medication could be causing my headaches,causes,llm_generated
What caused my blood pprrssure to go p?,causes,typo
What causes Myotonia congenita ?,causes,original
Is there a specific cause for my persistent cough?,causes,llm_generated
My tongue is really sore and I think it might be because of the new toothpaste I'm using,causes,llm_generated
Why do I get pins and needles in my hand?,causes,llm_generated
Is there a specific cauuse for my persstent cough?,causes,typo
What causes Insomnia ?,causes,original
Is it something environmental that's making me feel unwell?,causes,llm_generated
Why is my body doing this to me,causes,llm_generated
Why do I keep getting sick all the time,causes,llm_generated
Is ot something envieonmrntal that's making me geel unwwelll?,causes,typo
What causes Hair loss ?,causes,original
I've been having trouble breathing and I'm not sure what's causing it,causes,llm_generated
Can you tell me what's behind all this,causes,llm_generated
Why am I always feeling so out of breath?,causes,llm_generated
Can you tell me what's behind all this,causes,typo
What causes Polycystic Kidney Disease ?,causes,original
What causes a cold sore to appear,causes,llm_generated
"I've got this weird lump, what could have caused it?",causes,llm_generated
Did I do something to get this infection?,causes,llm_generated
What causes a cold sore to apppear,causes,typo
What causes Respiratory alkalosis ?,causes,original
I'd like to know what's behind all these health issues,causes,llm_generated
What makes someone prone to tonsillitis?,causes,llm_generated
What's the cause of all these problems I'm experiencing,causes,llm_generated
Whaat's the cqus of all these peoblems I'm exprriencing,causes,typo
What causes Penis pain ?,causes,original
My mum had a heart attack and I'm worried it might run in the family but I also smoke and drink so is that what caused hers,causes,llm_generated
Can a viral infection cause my symptoms,causes,llm_generated
I've been feeling really anxious and I'm trying to figure out what's causing it,causes,llm_generated
My mum had a hart attack and I'mm woorried it might run in t family but I also smoke and drink soo is that what caused herd,causes,typo
What causes Toxic megacolon ?,causes,original
Can you tell me what's behind all this,causes,llm_generated
What could have triggered my depression again?,causes,llm_generated
I don't understand why my stomach is so bloated.,causes,llm_generated
Can you tell me wht's behind ll this,causes,typo
What causes Malocclusion of teeth ?,causes,original
What makes your eyes get so red and itchy?,causes,llm_generated
What makes your muscles ache so much after exercise?,causes,llm_generated
Can a lack of sleep cause my symptoms to get worse,causes,llm_generated
What mmakes yoyr eyes get oo re and itcchy?,causes,typo
What causes Nerve Disease and Bladder Control ?,causes,original
I've been having trouble sleeping and I'm wondering if it's because of my phone before bed,causes,llm_generated
Is my illness because of something I ate,causes,llm_generated
I've been feeling really poorly for weeks and I have no idea what's causing it,causes,llm_generated
Is my illness because of something I ate,causes,typo
What causes Retinitis pigmentosa ?,causes,original
I've been feeling really anxious and I'm trying to figure out what's causing it,causes,llm_generated
Is there something in my environment that's making me feel unwell,causes,llm_generated
What makes kids get chickenpox?,causes,llm_generated
I've beenn feeling eally anxious and I'm ttrying tp ffiggure out what's vausing it,causes,typo
What causes Dry hair ?,causes,original
Why did my leg swell up like this overnight?,causes,llm_generated
Is it something I ate that's given me this upset tummy?,causes,llm_generated
Why do I get pins and needles in my hand?,causes,llm_generated
Wy fo I get pins and needls in my and?,causes,typo
What causes Double outlet right ventricle ?,causes,original
Did I do something to cause my back to hurt like this,causes,llm_generated
I've been having these muscle spasms and I don't know what's causing them,causes,llm_generated
What causes food poisoning and how can I avoid it,causes,llm_generated
Did I o sommething to cause my back to hurt lke ths,causes,typo
What causes Polycystic kidney disease ?,causes,original
I've been feeling really poorly for weeks and I have no idea what's causing it,causes,llm_generated
"What set this whole thing off, then",causes,llm_generated
"I'm confused about what's going on, can you clarify",causes,llm_generated
"ehat set this eholee thing off, them",causes,typo
What causes Pseudomembranous colitis ?,causes,original
Do you think my injury is from overexerting myself at the gym,causes,llm_generated
What's behind this constant feeling of sickness?,causes,llm_generated
What causes hay fever to be so bad some years?,causes,llm_generated
What causes hay fever to be s bad somw years?,causes,typo
What causes Hypoparathyroidism ?,causes,original
What causes this horrible burning sensation?,causes,llm_generated
"I'm confused about what's going on, can you clarify",causes,llm_generated
Did I do something to cause my back to hurt like this,causes,llm_generated
Did I do something to cause my back to hurt like this,causes,typo
What causes Drug-induced lupus erythematosus ?,causes,original
What could be giving me this constant cough?,causes,llm_generated
Can stress cause my blood pressure to go up,causes,llm_generated
Is my illness because of something I ate,causes,llm_generated
CCan stress cuse mt blood presue tto go p,causes,typo
What causes Congenital antithrombin III deficiency ?,causes,original
What could be making me so tired lately?,causes,llm_generated
What causes this horrible burning sensation?,causes,llm_generated
What triggers eczema flare-ups?,causes,llm_generated
Whaat trgets eczema flare-ups?,causes,typo
What causes Deep venous thrombosis ?,causes,original
I've been having these weird cravings and I'm wondering if it's because of a deficiency or something,causes,llm_generated
I've had this pain in my side for weeks and I have no idea what's causing it,causes,llm_generated
Can you shed some light on what's causing all this,causes,llm_generated
u've had thiis pain in my side for weeeks and I have no idea whhat's causibg it,causes,typo
What causes Hump behind the shoulders (Dorsocervical fat pad) ?,causes,original
Why do some people get diabetes and others don't?,causes,llm_generated
Why did my ankle suddenly give way?,causes,llm_generated
Is there anything that causes dizzy spells?,causes,llm_generated
Why do some people get diabetes and othhers don't?,causes,typo
What causes Urination - difficulty with flow ?,causes,original
Why is my body doing this to me,causes,llm_generated
I've had this lump on my neck for weeks and I have no idea what's causing it,causes,llm_generated
I'd like to know what's behind all these health issues,causes,llm_generated
Why is my boy doin this to me,causes,typo
What causes Pericarditis ?,causes,original
I've been having trouble sleeping and I'm wondering if it's because of my phone before bed,causes,llm_generated
Is it possible that my diet is making my joints ache,causes,llm_generated
I've had a cough for ages and I'm worried it might be something serious that I've caught,causes,llm_generated
I'ce had a coigh for ages and I'n worried it miggt be something serious that I've caugh,causes,typo
What causes Isobutyryl-CoA dehydrogenase deficiency ?,causes,original
"I'm not sure what's going on with me, can you help",causes,llm_generated
What caused my blood pressure to go up?,causes,llm_generated
I've been having trouble sleeping and I'm wondering if it's because of my phone before bed,causes,llm_generated
"I'm ot sute whar's going on with me, can tou help",causes,typo
What causes Bladder outlet obstruction ?,causes,original
Can stress cause my blood pressure to go up,causes,llm_generated
My skin is really sensitive and I'm wondering if it's because of the products I'm using,causes,llm_generated
What's the reason for all these problems I'm having,causes,llm_generated
Can stress ause my lood pessure tto o up,causes,typo
What causes Anemia caused by low iron - infants and toddlers ?,causes,original
"I'm not sure what's going on with me, can you help",causes,llm_generated
I've had this pain in my side for weeks and I have no idea what's causing it,causes,llm_generated
My skin is really sensitive and I'm wondering if it's because of the products I'm using,causes,llm_generated
I'vw had this pain in my side for weeks and I have nn idea what's caausing it,causes,typo
What causes Uterine prolapse ?,causes,original
I've been having trouble sleeping and I'm wondering if it's because of my phone before bed,causes,llm_generated
