question,qtype,source
What causes Marden-Walker syndrome ?,causes,original
why do people get marden-walker syndrome,causes,colloquial
wy do peoole get marden-walker synrome,causes,typo
What causes Post-streptococcal glomerulonephritis (GN) ?,causes,original
why do people get post-streptococcal glomerulonephritis (gn),causes,colloquial
why do oeople get postt-streptococcl gglomerulonephritis (fn),causes,typo
What causes Flat feet ?,causes,original
why do people get flat feet,causes,colloquial
wh do people get flaat feet,causes,typo
What causes Broken Heart Syndrome ?,causes,original
why do people get broken heart syndrome,causes,colloquial
why do peope get brokeen hheart syndrome,causes,typo
What causes Paronychia ?,causes,original
why do people get paronychia,causes,colloquial
why do peoplee fey paronychia,causes,typo
What causes Down syndrome ?,causes,original
why do people get down syndrome,causes,colloquial
why do people get down synndrome,causes,typo
What causes Cancer ?,causes,original
why do people get cancer,causes,colloquial
why  people get cancerr,causes,typo
What causes Takayasu arteritis ?,causes,original
why do people get takayasu arteritis,causes,colloquial
why ddo people get takayasu arteitis,causes,typo
What causes Cancer - penis ?,causes,original
why do people get cancer - penis,causes,colloquial
why fo people get cancer - penis,causes,typo
What causes Postpartum depression ?,causes,original
why do people get postpartum depression,causes,colloquial
why ddo prople get pstpartum depression,causes,typo
What causes Blue rubber bleb nevus syndrome ?,causes,original
why do people get blue rubber bleb nevus syndrome,causes,colloquial
why ddo people ge blue runber bleb nevus syndrome,causes,typo
What causes Nance-Horan syndrome ?,causes,original
why do people get nance-horan syndrome,causes,colloquial
why doo people get nance-horan syndrome,causes,typo
What causes Brachial plexus injury in newborns ?,causes,original
why do people get brachial plexus injury in newborns,causes,colloquial
why do people get bracial plexus injury in newborns,causes,typo
What causes Interstitial keratitis ?,causes,original
why do people get interstitial keratitis,causes,colloquial
why do people get interstitial keraitiss,causes,typo
What causes Low calcium level - infants ?,causes,original
why do people get low calcium level - infants,causes,colloquial
wy do people get low calcium level - infants,causes,typo
What causes Sunburn ?,causes,original
why do people get sunburn,causes,colloquial
why o ppwoole get sunburn,causes,typo
What causes Sleeping sickness ?,causes,original
why do people get sleeping sickness,causes,colloquial
wy do people get sleeeping sickness,causes,typo
What causes Myotonia congenita ?,causes,original
why do people get myotonia congenita,causes,colloquial
why do people get mytonia cobgenita,causes,typo
What causes Insomnia ?,causes,original
why do people get insomnia,causes,colloquial
wy do people get insomnia,causes,typo
What causes Hair loss ?,causes,original
why do people get hair loss,causes,colloquial
why do peopplr get hair los,causes,typo
What causes Polycystic Kidney Disease ?,causes,original
why do people get polycystic kidney disease,causes,colloquial
hhy do people get polycyystic kidney dsease,causes,typo
What causes Respiratory alkalosis ?,causes,original
why do people get respiratory alkalosis,causes,colloquial
why do peopke get respiratort alkqlosis,causes,typo
What causes Penis pain ?,causes,original
why do people get penis pain,causes,colloquial
why do people grt peniss paain,causes,typo
What causes Toxic megacolon ?,causes,original
why do people get toxic megacolon,causes,colloquial
why do people get toxic megacolon,causes,typo
What causes Malocclusion of teeth ?,causes,original
why do people get malocclusion of teeth,causes,colloquial
why do people get malocclusion of tteeth,causes,typo
What causes Nerve Disease and Bladder Control ?,causes,original
why do people get nerve disease and bladder control,causes,colloquial
why do people het erve disease snd bladder comtrol,causes,typo
What causes Retinitis pigmentosa ?,causes,original
why do people get retinitis pigmentosa,causes,colloquial
why do people get reinitis pigmentoosaa,causes,typo
What causes Dry hair ?,causes,original
why do people get dry hair,causes,colloquial
why do people get dry hr,causes,typo
What causes Double outlet right ventricle ?,causes,original
why do people get double outlet right ventricle,causes,colloquial
why do people get double outlet riight ventricle,causes,typo
What causes Polycystic kidney disease ?,causes,original
